0 0.000000
1 1.000000
2 1.414214
3 1.732051
4 2.000000
5 2.236068
6 2.449490
7 2.645751
8 2.828427
9 3.000000
10 3.162278
11 3.316625
12 3.464102
13 3.605551
14 3.741657
15 3.872983
16 4.000000
17 4.123106
18 4.242641
19 4.358899
20 4.472136
21 4.582576
22 4.690416
23 4.795832
24 4.898979
25 5.000000
26 5.099020
27 5.196152
28 5.291503
29 5.385165
30 5.477226
31 5.567764
32 5.656854
33 5.744563
34 5.830952
35 5.916080
36 6.000000
37 6.082763
38 6.164414
39 6.244998
40 6.324555
41 6.403124
42 6.480741
43 6.557439
44 6.633250
45 6.708204
46 6.782330
47 6.855655
48 6.928203
49 7.000000
